Quotes,Author,Tags
��The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"[<a class=""tag"" href=""/tag/change/page/1/"">change</a>, <a class=""tag"" href=""/tag/deep-thoughts/page/1/"">deep-thoughts</a>, <a class=""tag"" href=""/tag/thinking/page/1/"">thinking</a>, <a class=""tag"" href=""/tag/world/page/1/"">world</a>]"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"[<a class=""tag"" href=""/tag/abilities/page/1/"">abilities</a>, <a class=""tag"" href=""/tag/choices/page/1/"">choices</a>]"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"[<a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>, <a class=""tag"" href=""/tag/life/page/1/"">life</a>, <a class=""tag"" href=""/tag/live/page/1/"">live</a>, <a class=""tag"" href=""/tag/miracle/page/1/"">miracle</a>, <a class=""tag"" href=""/tag/miracles/page/1/"">miracles</a>]"
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"[<a class=""tag"" href=""/tag/aliteracy/page/1/"">aliteracy</a>, <a class=""tag"" href=""/tag/books/page/1/"">books</a>, <a class=""tag"" href=""/tag/classic/page/1/"">classic</a>, <a class=""tag"" href=""/tag/humor/page/1/"">humor</a>]"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"[<a class=""tag"" href=""/tag/be-yourself/page/1/"">be-yourself</a>, <a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>]"
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"[<a class=""tag"" href=""/tag/adulthood/page/1/"">adulthood</a>, <a class=""tag"" href=""/tag/success/page/1/"">success</a>, <a class=""tag"" href=""/tag/value/page/1/"">value</a>]"
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"[<a class=""tag"" href=""/tag/life/page/1/"">life</a>, <a class=""tag"" href=""/tag/love/page/1/"">love</a>]"
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"[<a class=""tag"" href=""/tag/edison/page/1/"">edison</a>, <a class=""tag"" href=""/tag/failure/page/1/"">failure</a>, <a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>, <a class=""tag"" href=""/tag/paraphrased/page/1/"">paraphrased</a>]"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,"[<a class=""tag"" href=""/tag/misattributed-eleanor-roosevelt/page/1/"">misattributed-eleanor-roosevelt</a>]"
"“A day without sunshine is like, you know, night.”",Steve Martin,"[<a class=""tag"" href=""/tag/humor/page/1/"">humor</a>, <a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>, <a class=""tag"" href=""/tag/simile/page/1/"">simile</a>]"
